VideoID	Description
xBePrplM4OA_6_18.avi	A woman goes under a horse.
xBePrplM4OA_6_18.avi	A woman crawls under a horse and gets a surprise.
xBePrplM4OA_6_18.avi	A girl is jutting out her head from between the back legs of a horse who shits on her head.
xBePrplM4OA_6_18.avi	A horse defecated on a woman's head.
xBePrplM4OA_6_18.avi	A horse excretes on the head of a woman as she gets in between the fore anf hind legs and sticks her head out.
xBePrplM4OA_6_18.avi	A horse is defecating on a woman's head.
xBePrplM4OA_6_18.avi	A horse poops on a woman.
xBePrplM4OA_6_18.avi	A horse poops on a woman.
xBePrplM4OA_6_18.avi	A lady was pooped on because she was under a horse's tail end.
xBePrplM4OA_6_18.avi	A woman crawls under a horse and when she sticks her head between the horses rear legs the horse defecates on her head.
xBePrplM4OA_6_18.avi	A woman goes under a horse's behind and gets pooped on.
xBePrplM4OA_6_18.avi	A woman goes underneath a horse.
xBePrplM4OA_6_18.avi	A woman is crawling under a horse.
xBePrplM4OA_6_18.avi	A woman is getting pooped on by a horse.
xBePrplM4OA_6_18.avi	A woman is walking between horse legs.
xBePrplM4OA_6_18.avi	A woman is walking under horse and it poops on her head.
xBePrplM4OA_6_18.avi	As the woman went underneath the horse, the horse pooped on her head.
xBePrplM4OA_6_18.avi	The horse pooped on the lady who was underneath him.
IBgsLmDcL78_80_84.avi	A man slicing butter into a bowl.
IBgsLmDcL78_80_84.avi	A man cut up butter into a pan.
IBgsLmDcL78_80_84.avi	A man cutting butter into a mixing bowl.
IBgsLmDcL78_80_84.avi	A man is chopping butter into a container.
IBgsLmDcL78_80_84.avi	A man is cutting a butter.
IBgsLmDcL78_80_84.avi	A man is cutting pieces of butter into a mixing bowl.
IBgsLmDcL78_80_84.avi	A man is cutting slices of butter into a mixing bowl.
IBgsLmDcL78_80_84.avi	A man is slicing butter into an electric mixer.
IBgsLmDcL78_80_84.avi	A man is slicing butter.
IBgsLmDcL78_80_84.avi	A man is slicing some butter pieces and putting it into a steel bowl.
IBgsLmDcL78_80_84.avi	A man puts butter into a mixing bowl.
IBgsLmDcL78_80_84.avi	A person is putting butter chunks in the food processor.
IBgsLmDcL78_80_84.avi	An individual cuts food and drops it into a mixer.
IBgsLmDcL78_80_84.avi	Butter is being put into a bowl.
IBgsLmDcL78_80_84.avi	Butter is being put into a mixer.
IBgsLmDcL78_80_84.avi	Pieces of butter is added in the stand mixer.
IBgsLmDcL78_80_84.avi	Someone is shown putting a small square object into a mixing bowl.
IBgsLmDcL78_80_84.avi	The man cut butter into a bowl.
IBgsLmDcL78_80_84.avi	The man is cutting butter.
IBgsLmDcL78_80_84.avi	A person is adding butter into a pot.
WqQonRVs7WA_0_10.avi	A raccoon-like animal is hanging upside down from the back of a chair and eating something white.
WqQonRVs7WA_0_10.avi	A slow loris is eating an egg.
WqQonRVs7WA_0_10.avi	A slow loris is eating on a chair.
WqQonRVs7WA_0_10.avi	A Lory is eating an egg.
WqQonRVs7WA_0_10.avi	A sloth is hanging from a chair.
WqQonRVs7WA_0_10.avi	A animal is hanging upside down.
WqQonRVs7WA_0_10.avi	A slow loris is hanging down a chair and eating something.
WqQonRVs7WA_0_10.avi	A hanging loris is eating food.
WqQonRVs7WA_0_10.avi	A small animal eats a potato.
WqQonRVs7WA_0_10.avi	A monkey is hanging upside down in a cage.
WqQonRVs7WA_0_10.avi	An animal is eating.
WqQonRVs7WA_0_10.avi	A loris is eating some food.
WqQonRVs7WA_0_10.avi	The animal hung from the back of a chair eating a piece of food.
WqQonRVs7WA_0_10.avi	The animal is eating.
WqQonRVs7WA_0_10.avi	An animal eats upside down.
WqQonRVs7WA_0_10.avi	A baby slow loris is eating a fruit while hanging upside-down on the back of a chair.
WqQonRVs7WA_0_10.avi	A lemur hangs and eats.
WqQonRVs7WA_0_10.avi	The mammal hung from the chair top eating something.
F2Ny7rq9RKs_139_148.avi	A man is putting pepper into a bowl.
F2Ny7rq9RKs_139_148.avi	Someone is seasoning two cracked eggs in a bowl.
F2Ny7rq9RKs_139_148.avi	A man puts ingredients on eggs.
F2Ny7rq9RKs_139_148.avi	Someone is seasoning two raw eggs in a bowl.
F2Ny7rq9RKs_139_148.avi	A person is adding spices in the bowl.
F2Ny7rq9RKs_139_148.avi	A man is adding vanilla to egg.
F2Ny7rq9RKs_139_148.avi	A person adds cinnamon and vanilla extract to eggs.
F2Ny7rq9RKs_139_148.avi	A man is preparing ingredients to make French toast in a bowl.
F2Ny7rq9RKs_139_148.avi	A person is seasoning eggs.
F2Ny7rq9RKs_139_148.avi	A person puts seasonings into a bowl of raw eggs.
F2Ny7rq9RKs_139_148.avi	Someone is putting seasonings onto raw eggs.
F2Ny7rq9RKs_139_148.avi	Someone is seasoning eggs.
F2Ny7rq9RKs_139_148.avi	A person is adding cinnamon and vanilla to eggs in a bowl.
F2Ny7rq9RKs_139_148.avi	Someone seasoned the raw eggs.
F2Ny7rq9RKs_139_148.avi	The cook is seasoning eggs.
F2Ny7rq9RKs_139_148.avi	A cook adds seasoning and extracts to some eggs.
F2Ny7rq9RKs_139_148.avi	The lady added season to the eggs.
D1tTBncIsm8_841_848.avi	Someone is burning the tops of two cameras with a torch.
D1tTBncIsm8_841_848.avi	A person is blow torching cameras.
D1tTBncIsm8_841_848.avi	Someone is blow-torching two cameras.
D1tTBncIsm8_841_848.avi	A person is burning cameras.
D1tTBncIsm8_841_848.avi	Two cameras are sitting side by side one of them is in flames.
D1tTBncIsm8_841_848.avi	A camera is burning.
D1tTBncIsm8_841_848.avi	A person is heating up a camera with a blowtorch.
D1tTBncIsm8_841_848.avi	A person is burning cameras.
D1tTBncIsm8_841_848.avi	A person is torching two cameras to test their durability.
D1tTBncIsm8_841_848.avi	Someone is burning cameras with a torch.
D1tTBncIsm8_841_848.avi	Someone is burning cameras with a blow torch.
D1tTBncIsm8_841_848.avi	A person is torching two cameras.
D1tTBncIsm8_841_848.avi	The person lit the cameras on fire.
D1tTBncIsm8_841_848.avi	Someone is burning two cameras.
D1tTBncIsm8_841_848.avi	A person uses a blowtorch on two cameras.
D1tTBncIsm8_841_848.avi	Someone is setting two cameras on fire with a spray.
Z19zFlPah-o_6_11.avi	Clouds are quickly floating past a building.
Z19zFlPah-o_6_11.avi	Clouds are moving across the sky.
Z19zFlPah-o_6_11.avi	Clouds are moving in sky.
Z19zFlPah-o_6_11.avi	Clouds are moving across the sky behind an historic building.
Z19zFlPah-o_6_11.avi	Some clouds move across a blue sky.
Z19zFlPah-o_6_11.avi	Text streams across a shot of a building's roof.
Z19zFlPah-o_6_11.avi	Clouds are floating by.
Z19zFlPah-o_6_11.avi	The roof-top of a church then cuts to a boy riding a bike.
Z19zFlPah-o_6_11.avi	There is a church as white clouds are moving in the overhead sky.
Z19zFlPah-o_6_11.avi	Clouds are moving past the top of roofs.
Z19zFlPah-o_6_11.avi	The clouds rolled by the buildings.
Z19zFlPah-o_6_11.avi	Some towers stand tall against a moving sky and clouds.
Z19zFlPah-o_6_11.avi	The clouds are moving.
